bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal),
SJ 273,2015,EP Double Counting of Health Benefits,Sierra Club,negative,bill passed,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=SJ273,Sam,
SB 1428,2015,Virginia Coastal Protection Act,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=SB1428,Sam,
SB 1166,2015,Access to Gas Companies' Public Records,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=sb1166,Sam,
SB 1395,2015,Raising the Cap on Commercial Net Metering,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=sb1395,Sam,
SB 25,2014,Offshore Drilling Royalties,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=SB25,Sam,
SB 48,2014,Hydraulic Fracking Regulations,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=sb48,Sam,
SB 222,2014,Lifting Home and Community Association Bans on Solar Panels,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=sb222,Sam,
SB 350,2014,Expanding Net Energy Metering,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=SB350,Sam,
SB 418,2014,Redefining Solar Panels as Pollution Control Equipment,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=sb418,Sam,
SB 459,2014,Dominion's Accounting Sleight of Hand,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=sb459,Sam,"Bill name: Electric utility regulation; recovery of nuclear costs, rate adjustment clauses"
SB 498,2014,Renewable Portfolio Standard Reform,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=sb498,Sam,
SB 505,2014,Incentivizing Conversion to Natural Gas,Sierra Club,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=sb505,Sam,
SB 653,2014,Renewable Energy Grant Program,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=sb653,Sam,
HB 207,2014,Teach the Controversy,Sierra Club,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=hb207,Sam,
SJ 3,2014,Establishing a Recurrent Flooding Planning Committee,Sierra Club,positive,bill passed,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=SJ3,Sam,
