bill_id,session,name,organization,designated_env_impact,state_x,chamber_x,title,created_at,updated_at,type_x,subjects,state_y,chamber_y,date,action,actor,type_y
HB 514,2017,Energy Efficiency Programs—Calculation of Program,League of Conservation Voters,positive,md,lower,Energy Efficiency Programs - Calculation of Program Savings and Consideration of Cost-Effectiveness,2017-01-27 04:55:28.713000,2017-06-08 07:14:16.827000,bill,Environmental|Energy|Other|Government Reform,md,lower,2017-05-27 00:00:00,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 780",executive,other
HB 1325,2017,Fracking Ban,"League of Conservation Voters, Sierra Club",positive,md,lower,Oil and Natural Gas - Hydraulic Fracturing - Prohibition,2017-02-10 06:13:41.975000,2017-05-21 07:14:12.786000,bill,Environmental|Energy|Other,md,lower,2017-04-04 00:00:00,Approved by the Governor - Chapter 13,executive,governor:signed
HB 1106-16,2017,Clean Energy Jobs Act—Veto Override,League of Conservation Voters,positive,,,,,,,,,,,,,
SB 937,2016,Sustainable Oyster Population and Fishery Act of 2016,League of Conservation Voters,positive,md,upper,Sustainable Oyster Population and Fishery Act of 2016,2016-02-09 06:42:46.785000,2016-04-16 07:12:52.144000,bill,Legislative Affairs|Agriculture and Food|Environmental|Other|Education|Animal Rights and Wildlife Issues,md,upper,2016-04-11 00:00:00,Passed Enrolled,upper,other
SB 921,2016,Clean Energy Jobs Act,"League of Conservation Voters, Sierra Club",positive,md,upper,Clean Energy Jobs - Renewable Energy Portfolio Standard Revisions,2016-02-09 06:42:30.537000,2016-04-14 07:18:08.760000,bill,"Commerce|Social Issues|Family and Children Issues|Legislative Affairs|Labor and Employment|Energy|Sexual Orientation and Gender Issues|Crime|Environmental|Other|Budget, Spending, and Taxes|Military|Education|Business and Consumers|Welfare and Poverty",md,upper,2016-04-12 00:00:00,Returned Passed,upper,other
SB 398,2016,Reducing Environmental Degradation for the Underserved through Community Engagement,League of Conservation Voters,positive,md,upper,Reducing Environmental Degradation for the Underserved Through Community Engagement (The REDUCE Act),2016-01-29 05:52:55.304000,2016-03-22 06:58:32.612000,bill,Commerce|Social Issues|Government Reform|Transportation|Energy|Environmental|Other|Health|Technology and Communication|Business and Consumers,md,upper,2016-03-18 00:00:00,"Unfavorable Report by Education, Health, and Environmental Affairs",upper,committee:passed:unfavorable
SB 323,2016,Greenhouse Gas Emissions Reduction Act,"League of Conservation Voters, Sierra Club",positive,md,upper,Greenhouse Gas Emissions Reduction Act - Reauthorization,2016-01-28 06:08:55.351000,2016-04-23 07:19:24.869000,bill,Environmental|Education|Other|Government Reform|Legislative Affairs,md,upper,2016-04-04 00:00:00,Approved by the Governor - Chapter 11,executive,governor:signed
SB 198,2016,Pollinator Protection Act,"League of Conservation Voters, Sierra Club",positive,md,upper,Neonicotinoid Pesticides - Restrictions on Sales and Use (Pollinator Protection Act of 2016),2016-01-21 05:29:49.183000,2016-04-23 07:16:32.745000,bill,"Commerce|Legal Issues|Legislative Affairs|Judiciary|Crime|Agriculture and Food|Environmental|Other|Federal, State, and Local Relations|Health|Animal Rights and Wildlife Issues",md,upper,2016-04-09 00:00:00,Passed Enrolled,upper,other
HB 610,2016,Greenhouse Gas Emissions Reduction Act,"League of Conservation Voters, Sierra Club",positive,md,lower,Greenhouse Gas Emissions Reduction Act - Reauthorization,2016-02-04 06:12:47.390000,2016-04-13 07:07:16.668000,bill,Environmental|Education|Other|Government Reform|Legislative Affairs,md,lower,2016-04-11 00:00:00,Returned Passed,lower,other
HB 462,2016,Program Open Space—Transfer Tax Repayment —Use of Funds,League of Conservation Voters,positive,md,lower,Program Open Space - Transfer Tax Repayment - Use of Funds,2016-01-29 05:52:55.356000,2016-04-23 07:22:15.882000,bill,"Senior Issues|Recreation|Municipal and County Issues|Public Services|Agriculture and Food|Environmental|Other|Technology and Communication|Budget, Spending, and Taxes|Housing and Property|State Agencies|Business and Consumers",md,lower,2016-04-04 00:00:00,Approved by the Governor - Chapter 10,executive,governor:signed
HB 31,2016,Community Clean-up and Greening Act of 2016,League of Conservation Voters,positive,md,lower,Community Cleanup and Greening Act of 2016,2016-01-07 05:16:51.985000,2016-03-29 06:46:58.120000,bill,"Commerce|Municipal and County Issues|Labor and Employment|Public Services|Judiciary|Agriculture and Food|Environmental|Other|Health|Budget, Spending, and Taxes|State Agencies|Business and Consumers",md,lower,2016-03-28 00:00:00,Unfavorable Report by Environment and Transportation,lower,committee:passed:unfavorable
HB 211,2016,Pollinator Protection Act,"League of Conservation Voters, Sierra Club",positive,md,lower,Neonicotinoid Pesticides - Restrictions on Sales and Use (Pollinator Protection Act of 2016),2016-01-22 05:34:10.590000,2016-04-13 07:16:30.270000,bill,"Commerce|Legal Issues|Judiciary|Crime|Agriculture and Food|Environmental|Other|Federal, State, and Local Relations|Health|Animal Rights and Wildlife Issues",md,lower,2016-04-07 00:00:00,Passed Enrolled,lower,other
HB 1603,2016,Sustainable Oyster Population and Fishery Act of 2016,League of Conservation Voters,positive,md,lower,Sustainable Oyster Population and Fishery Act of 2016,2016-02-25 07:28:20.140000,2016-05-11 07:11:51.242000,bill,"Legislative Affairs|Agriculture and Food|Environmental|Other|Federal, State, and Local Relations|Education|Animal Rights and Wildlife Issues",md,lower,2016-04-11 00:00:00,First Reading Senate Rules,upper,committee:referred
HB 1106,2016,Clean Energy Jobs Act,"League of Conservation Voters, Sierra Club",positive,md,lower,Clean Energy Jobs - Renewable Energy Portfolio Standard Revisions,2016-02-11 06:56:25.759000,2016-04-19 07:09:22.050000,bill,"Commerce|Social Issues|Government Reform|Family and Children Issues|Legislative Affairs|Labor and Employment|Energy|Legal Issues|Sexual Orientation and Gender Issues|Crime|Environmental|Other|Technology and Communication|Budget, Spending, and Taxes|Housing and Property|Military|State Agencies|Education|Business and Consumers|Welfare and Poverty",md,lower,2016-04-11 00:00:00,Passed Enrolled,lower,other
HB 1013,2016,Maryland Open Transportation Investment Decision Act of 2016,League of Conservation Voters,positive,md,lower,Maryland Open Transportation Investment Decision Act of 2016,2016-02-10 06:49:45.100000,2016-04-23 07:19:08.060000,bill,"Commerce|Social Issues|Transportation|Municipal and County Issues|Legislative Affairs|Labor and Employment|Environmental|Other|Health|Budget, Spending, and Taxes|State Agencies|Business and Consumers|Legal Issues",md,lower,2016-04-08 00:00:00,Gubernatorial Veto Override - Chapter 36,executive,other
SB 938,2015,Wind Energy Restrictions,Sierra Club,negative,md,upper,Public Service Commission - Certificate of Public Convenience and Necessity - Land-Based Wind Generating Stations in Kent County,2015-03-26 01:20:31.061000,2015-04-01 01:20:33.499000,bill,Commerce|Government Reform|Municipal and County Issues|Energy|Other|Business and Consumers,md,upper,2015-03-25 00:00:00,Hearing 4/07 at 1:00 p.m.,upper,other
SB 899,2015,Wind Energy Restrictions,Sierra Club,negative,md,upper,Offshore Wind - Application for Proposed Project - Evaluation and Approval,2015-03-07 02:07:19.356000,2015-05-19 01:43:49.449000,bill,"Government Reform|Transportation|Energy|Other|Federal, State, and Local Relations|Military|Public Services",md,upper,2015-03-19 00:00:00,Hearing 3/26 at 1:00 p.m.,upper,other
SB 867,2015,Artificial Turf,Sierra Club,negative,md,upper,Prince George's County Board of Education - Public High Schools - Outdoor Synthetic Turf Fields,2015-02-27 02:03:01.495000,2015-03-31 01:26:07.313000,bill,"Recreation|Municipal and County Issues|Environmental|Other|Federal, State, and Local Relations|Budget, Spending, and Taxes|Education",md,upper,2015-03-25 00:00:00,Hearing 3/31 at 1:00 p.m.,lower,other
SB 863,2015,Stormwater,Sierra Club,positive,md,upper,Watershed Protection and Restoration Programs - Revisions,2015-02-26 02:02:21.100000,2015-05-28 01:45:59.694000,bill,"Commerce|Government Reform|Transportation|Legal Issues|Municipal and County Issues|Judiciary|Environmental|Other|Federal, State, and Local Relations|Budget, Spending, and Taxes|Housing and Property|Military|Health|Legislative Affairs",md,upper,2015-05-12 00:00:00,Approved by the Governor - Chapter 124,executive,governor:signed
SB 589,2015,Motor Fuel Tax Rate,Sierra Club,negative,md,upper,Motorist Tax Relief - Motor Fuel Tax - Consumer Price Index and Sales and Use Tax Equivalent Rate Adjustments - Repeal,2015-02-11 01:18:34.320000,2015-05-19 01:45:10.043000,bill,"Commerce|Transportation|Legislative Affairs|Energy|Other|Federal, State, and Local Relations|Budget, Spending, and Taxes|State Agencies|Business and Consumers",md,upper,2015-02-25 00:00:00,Hearing 3/10 at 1:00 p.m.,upper,other
SB 481,2015,Community Solar Energy,Sierra Club,positive,md,upper,Electricity - Community Solar Energy Generating System Program,2015-02-11 01:17:39.894000,2015-11-05 21:59:20.821000,bill,Commerce|Government Reform|Legal Issues|Energy|Other|Business and Consumers,md,upper,2015-02-11 00:00:00,Hearing 3/03 at 1:00 p.m.,upper,other
SB 458,2015,Fracking Liability,League of Conservation Voters,positive,md,upper,Civil Actions - Hydraulic Fracturing Liability Act,2015-02-08 01:02:09.633000,2015-05-12 01:43:45.262000,bill,Legal Issues|Energy|Judiciary|Crime|Environmental|Housing and Property|Insurance,md,upper,2015-03-26 00:00:00,Hearing 4/01 at 1:00 p.m.,lower,other
SB 409,2015,Fracking Moratorium,"League of Conservation Voters, Sierra Club",positive,md,upper,Environment - Hydraulic Fracturing - Regulations,2015-02-08 01:02:12.823000,2015-11-05 22:00:13.257000,bill,Environmental|Other|Legislative Affairs,md,upper,2015-05-30 00:00:00,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 480",executive,other
SB 398,2015,Community Solar Energy,Sierra Club,positive,md,upper,Electricity - Community Solar Energy Generating System Program,2015-02-07 00:57:48.155000,2015-06-16 01:44:06.094000,bill,Commerce|Government Reform|Legal Issues|Legislative Affairs|Energy|Other|Business and Consumers,md,upper,2015-05-12 00:00:00,Approved by the Governor - Chapter 346,executive,governor:signed
SB 258,2015,Maryland Commission on Climate Change,"League of Conservation Voters, Sierra Club",positive,md,upper,Maryland Commission on Climate Change,2015-02-05 00:45:42.110000,2015-11-05 22:01:27.388000,bill,Commerce|Government Reform|Transportation|Legislative Affairs|Energy|Insurance|Agriculture and Food|Environmental|Other|Health|Technology and Communication|Housing and Property|State Agencies|Education|Public Services,md,upper,2015-05-12 00:00:00,Vetoed by the Governor (Duplicative),executive,governor:vetoed
SB 257,2015,Agricultural Pollution,Sierra Club,positive,md,upper,Agriculture - Nutrient Management - Phosphorus Management Tool,2015-02-05 00:46:11.839000,2015-11-05 22:00:43.444000,bill,Agriculture and Food|Environmental|Other|Business and Consumers|Legal Issues,md,upper,2015-03-25 00:00:00,"Recommitted to Education, Health, and Environmental Affairs (Senator Pinsky)",upper,other
SB 200,2015,Microbeads,Sierra Club,positive,md,upper,Environment - Personal Care Products Containing Synthetic Plastic Microbeads - Prohibition on Manufacturing or Sale,2015-02-04 00:39:53.497000,2015-05-19 01:45:19.856000,bill,Drugs|Environmental|Technology and Communication|Commerce,md,upper,2015-04-13 00:00:00,"Senators Pinsky, Montgomery, and Bates",upper,other
